municipio,recup_florestal_2010_2023_ha,recup_florestal_2010_2023_pct,taxa_recup_florestal_ha_ano
Valença,2389.791659423696,7.737264739410227,183.8301276479766
Rio das Flores,1983.1138002235184,19.90603325006261,152.5472154018091
Paraíba do Sul,1734.1457738638246,21.832828584166286,133.39582875875573
Vassouras,1228.0769577203446,11.563477413446064,94.46745828618035
Barra do Piraí,860.5130831607985,5.6677013311508375,66.19331408929219
Barra Mansa,764.7250336106827,7.111924844979665,58.825002585437126
Resende,604.9479214557796,1.55073329976603,46.534455496598426
Quatis,289.60316249955576,4.535038523403234,22.277166346119675
Piraí,263.3063907123378,8.184935986386021,20.25433774710291
Três Rios,249.87382760334276,28.95634827453133,19.221063661795597
