municipio,cod_ibge,ICV_2023_pct,variacao_veg_ha,variacao_veg_pct,recup_florestal_2010_2023_ha,recup_florestal_2010_2023_pct,taxa_recup_florestal_ha_ano,pasto_para_mata_total_ha,pasto_para_mata_recente_ha,mata_para_pasto_total_ha,mata_para_pasto_recente_ha,saldo_florestal_total_ha,saldo_florestal_recente_ha,cresc_urbano_ha,cresc_urbano_pct,area_urbana_2023_ha,pressao_antropica_2023_pct,pressao_antropica_1985_pct,variacao_pressao_antropica_pp,shannon_2023,eficiencia_regeneracao,saldo_veg_nativa_total_ha,variacao_agropecuaria_ha,variacao_agropecuaria_pct,desmatamento_recente_ha,taxa_desmatamento_recente_ha_ano,variacao_agua_ha,area_agua_2023_ha,area_total_na_rh3_ha
Valença,3306107,25.6055247249411,744.6939412442589,2.289120935894168,2389.791659423696,7.737264739410227,183.8301276479766,2316.6054920485794,432.7855540420495,3456.1287504239704,504.3268188619438,-1139.523258375391,-71.54126481989437,574.9071677140162,109.17648078459918,1101.492347582824,73.9886944309158,74.33732527805431,-0.3486308471385086,0.9734369547375972,0.6702891180672585,720.8681103015942,-1111.7922235718434,-1.157715585576765,439.315280537804,146.43842684593466,-114.28087249462492,340.85830930763626,129958.54767833532
Pinheiral,3303955,26.326369792351294,165.72416847699128,8.287633401374537,184.83872094616345,9.332736258497166,14.21836314970488,140.96478371742893,43.508653101792525,124.90818600233864,26.99349679201841,16.05659771509029,16.515156309774113,310.59646215310283,174.06085373356902,489.0377690241617,72.28343934950077,74.10729253537357,-1.8238531858728064,1.2164523484924163,1.1285472011801505,154.80030841134936,-469.0498223004033,-7.927174932214622,33.057757357201154,11.019252452400384,-26.419799055626623,94.32664786247057,8225.138160380053
Rio Claro,3304409,13.779110057000729,-45.53384509466434,-8.018444916885356,-15.209743124334068,-2.829510732258209,-1.16998024033339,43.74517004934012,1.4879404306411743,52.20376116595432,4.485848746200403,-8.458591116614201,-2.9979083155592283,4.758233985626229,159.24847634322782,7.746164605050694,86.1969102376444,84.96083698495413,1.2360732526902751,0.8602516837254339,0.8379696993531831,-45.5338450946644,42.09806294639839,1.3083462006849642,6.894045631149236,2.298015210383079,-1.322451837360859,0.0,3790.73787334555
Barra do Piraí,3300308,29.80940988699236,-1664.0310957610327,-9.39743144722006,860.5130831607985,5.6677013311508375,66.19331408929219,1239.7052601027722,250.82008904803035,2572.0225421959576,289.55020857979264,-1332.3172820931854,-38.73011953176231,577.6646956558027,113.2252124254167,1087.8555650580747,69.22137494636877,66.01121657868396,3.210158367684812,1.0966715758450587,0.4819962654931977,-1684.874994279212,1177.2071861055229,3.3691051151624367,327.42443283039563,109.14147761013189,-74.35187636482385,477.25697569183865,53819.4682643539
Vassouras,3306206,23.13423705054793,2510.1593450110886,26.88047337937609,1228.0769577203446,11.563477413446064,94.46745828618036,1236.3857797647515,175.39130461341608,561.758127785927,225.04924221117707,674.6276519788246,-49.65793759776099,324.3169955248049,90.1950479907374,683.8899463126472,76.02627039665035,80.55425187700529,-4.5279814803549385,1.0089534560644329,2.200921924597252,2467.043788684935,-2764.995494437171,-6.760887365358066,235.454117273028,78.484705757676,-168.31348915418585,404.9348245652575,51215.80316458423
Rio das Flores,3304508,24.96967908320608,3109.2614351943685,35.187655254038866,1983.1138002235184,19.90603325006261,152.5472154018091,1016.5232177201732,334.97612730331866,692.067203118842,168.55765941169332,324.45601460133105,166.41846789162534,115.16129656410683,373.24461241779846,146.01540476358403,74.41444179643338,80.6825297135783,-6.268087917144925,0.9498999545030437,1.4688215438315104,3079.6769993893377,-3593.389347091106,-9.317287153017231,176.21833975253736,58.73944658417912,-111.02596402422456,289.57552150631057,47839.97969855117
Porto Real,3304110,6.598974980191295,66.70922864082388,24.789232712800345,29.44184441508031,9.609802441216388,2.264757262698485,18.90867111250466,2.483598262071609,9.1396864475865,11.667467742048055,9.76898466491816,-9.183869479976448,898.3849321890115,346.0265361643319,1158.01384451103,90.94009444276506,91.57256991987116,-0.6324754771061123,1.328785010224691,2.0688533705111776,63.43263301893194,-930.6467296622824,-21.148761826972688,5.514892996876847,1.838297665625616,-29.06663849759917,109.50385919733375,5088.89473017948
Quatis,3304128,23.45086836305467,-786.6190936897001,-10.541488697525567,289.60316249955576,4.535038523403234,22.277166346119675,282.08288722283703,12.317623966552464,728.2493126203035,47.55973768184582,-446.16642539746647,-35.24211371529336,158.2778360154699,165.34606881497845,254.00302449429736,75.71545917363486,72.07423163549277,3.6412275381420898,1.1284757390226636,0.3873438427396225,-796.7702430276602,876.3625369734073,4.291463668621527,107.6031721201013,35.86772404003377,-17.256280772329603,149.72822433169563,28465.923264056528
Paraíba do Sul,3303708,22.28880422399524,3566.9368850806195,58.37824330158128,1734.1457738638246,21.83282858416629,133.39582875875573,1065.5708517168082,197.36854265227035,571.7391050935669,142.81648123799,493.8317466232413,54.55206141428036,483.9569114964382,155.00520202914686,796.1766984203866,76.84693318302136,84.86037691262395,-8.013443729602585,1.0460167534847926,1.8637361730617048,3534.2703073064195,-4142.393595758593,-11.339442692329396,232.6758200935581,77.5586066978527,-70.11133883998679,344.18987870321547,43416.33450012095
Resende,3304201,36.16619270335744,997.3833081418196,2.582689744995565,604.9479214557796,1.55073329976603,46.534455496598426,1980.7314893604785,126.8485015129634,1842.349229321468,201.83147271892017,138.38226003901082,-74.98297120595677,1734.992005045421,112.2098517128772,3281.19492623359,59.73590161725932,59.91344451594509,-0.1775428986857647,1.3446676894550726,1.075111850585449,935.7181244209388,-2848.300831833578,-4.444787029588487,599.3721424891669,199.79071416305564,-553.7363141281057,2787.606113928113,109537.07706042612
