municipio,variacao_veg_ha,variacao_veg_pct
Paraíba do Sul,3566.9368850806195,58.37824330158128
Rio das Flores,3109.2614351943685,35.187655254038866
Vassouras,2510.1593450110886,26.880473379376095
Resende,997.3833081418197,2.582689744995565
Valença,744.6939412442589,2.289120935894168
Paty do Alferes,603.1523994109775,13.508708115974382
Comendador Levy Gasparian,580.5064101150213,33.15539898689918
Itatiaia,544.9463210443009,4.47773472383252
Três Rios,402.7040080833966,56.71067754442133
Barra Mansa,198.89097819404378,1.7572126187414212
